CNAME,eg_name,abb_name
广西壮族自治区,Guangxi,GX
福建省,Fujian,FJ
贵州省,Guizhou,GZ
云南省,Yunnan,YN
江西省,Jiangxi,JX
湖南省,Hunan,HN
浙江省,Zhejiang,ZJ
上海市,Shanghai,SH
重庆市,Chongqing,CQ
湖北省,Hubei,HB
四川省,Sichuan,SC
安徽省,Anhui,AH
江苏省,Jiangsu,JS
河南省,Henan,HA
西藏自治区,Tibet,Tibet
山东省,Shangdong,SD
青海省,Qinghai,QH
宁夏回族自治区,Ningxia,NX
陕西省,Shaanxi,SN
天津市,Tianjing,TJ
山西省,Shanxi,SX
北京市,Beijiang,BJ
河北省,Hebei,HE
甘肃省,Gansu,GS
辽宁省,Liaoling,LN
吉林省,Jilin,JL
新疆维吾尔自治区,Xingjiang,XJ
内蒙古自治区,Neimenggu,IM
黑龙江省,Heilongjiang,HL
香港特别行政区,Hongkong,HK
澳门特别行政区,Macao,MC
海南省,Hainan,HI
广东省,Guangzhou,GD
台湾省,Taiwan,TW
